Date,Price,Open,High,Low,Change %,short_mavg,long_mavg,signal,EMA10,EMA30,EMA200,ROC10,ROC30,MOM10,MOM30,RSI10,RSI30,RSI200,%K10,%D10,%K30,%D30,%K200,%D200
02/27/2020,1.0998,1.0881,1.1006,1.0879,1.09%,1.0849300000000002,1.085523076923077,0.0,1.087678662938033,,,1.5512465373961357,,0.015800000000000036,,63.71780515117604,,,96.50655021834098,80.74521777666511,,,,
02/28/2020,1.1025,1.1001,1.1054,1.0951,0.25%,1.08688,1.0867357142857144,1.0,1.0905461967330252,,,1.762968432711844,,0.019500000000000073,,66.73788185677435,,,89.5306859205779,87.76998780388226,,,,
03/02/2020,1.1132,1.1003,1.1187,1.1003,0.97%,1.08986,1.0885,1.0,1.0948786090242477,,,3.160040774719676,,0.02980000000000005,,75.65931646011946,,,86.58536585365837,90.87420066419241,,,,
03/03/2020,1.1171,1.1133,1.1214,1.1095,0.35%,1.09366,1.0902875,1.0,1.0990886403603746,,,3.396890040725653,,0.038000000000000034,,78.04422577904391,,,90.16018306636158,88.75874494686595,,,,
03/04/2020,1.1134,1.1172,1.1188,1.1094,-0.33%,1.09696,1.0916470588235294,1.0,1.1017794901078664,,,3.255123805990903,,0.03299999999999992,,70.73810069771628,,,81.69336384439352,86.14630425480449,,,,
03/05/2020,1.1239,1.1136,1.1246,1.1119,0.94%,1.10152,1.0934388888888888,1.0,1.105912988249657,,,3.6521257954440522,,0.04559999999999986,,77.40713201284007,,,98.48484848484817,90.11279846520108,,,,
03/06/2020,1.1285,1.1238,1.1356,1.1212,0.41%,1.10594,1.0952842105263159,1.0,1.1101124738173949,,,3.9900479174345853,,0.04420000000000002,,79.66327810508298,,,87.11433756805826,89.09751663243333,,,,
03/09/2020,1.1447,1.1292,1.1494,1.1284,1.44%,1.11189,1.097755,1.0,1.116516852275361,,,5.221068112878018,,0.05950000000000011,,85.37726402004562,,,92.93233082706777,92.8438389599914,,,,
03/10/2020,1.1279,1.1446,1.1459,1.1275,-1.47%,1.11589,1.099190476190476,1.0,1.1186175764921753,,,3.676808530195773,,0.039999999999999813,,64.49650959277449,,,66.40624999999991,82.15097279837532,,,,
03/11/2020,1.1267,1.1281,1.1368,1.1257,-0.11%,1.11977,1.100440909090909,1.0,1.120105103416883,,,2.4458992544098854,,0.038799999999999946,,63.26844678144546,,,63.089430894308975,74.14267057379222,,,,
03/12/2020,1.1183,1.1269,1.1334,1.1055,-0.75%,1.1216199999999998,1.1012173913043477,1.0,1.1197736218018703,,,1.433106575963722,,0.01849999999999996,,55.10733530993405,,,42.72559852670369,57.40709314033753,,,,
03/13/2020,1.1105,1.1185,1.1223,1.1054,-0.70%,1.12242,1.1016041666666667,1.0,1.1180737425539593,,,-0.2425440172475678,,0.008000000000000007,,48.6346993758357,,,20.77393075356416,42.19632005819228,,,,
03/16/2020,1.1181,1.1085,1.1237,1.1046,0.68%,1.1229099999999999,1.102264,1.0,1.118078548478688,,,0.08951750067139128,,0.0049000000000001265,,54.42942357810253,,,30.133928571428754,31.2111526172322,,,,
03/17/2020,1.0996,1.1183,1.119,1.0955,-1.65%,1.1211600000000002,1.1021615384615384,1.0,1.1147004993114384,,,-1.2394467397161877,,-0.01750000000000007,,41.70435858285063,,,7.6066790352504405,19.504846120081115,,,,
03/18/2020,1.0913,1.0997,1.1046,1.0802,-0.75%,1.1189500000000001,1.101759259259259,1.0,1.1104269074396231,,,-2.9006139336239847,,-0.02210000000000001,,37.35128798193875,,,16.04046242774552,17.927023344808237,,,,
03/19/2020,1.069,1.0915,1.0982,1.0655,-2.04%,1.11346,1.1005892857142858,1.0,1.1028673081523794,,,-5.272485600354463,,-0.05489999999999995,,28.477634931248105,,,4.171632896305191,9.272924786433718,,,,
03/20/2020,1.0694,1.0692,1.0832,1.0637,0.04%,1.10755,1.0995137931034482,1.0,1.0967642215214386,,,-6.5781427448239835,,-0.05910000000000015,,28.814689226832513,,,6.651108518086142,8.954401280712284,,,,
03/23/2020,1.0721,1.0696,1.0829,1.0637,0.25%,1.10029,1.0986,1.0,1.0922688967746066,1.0997350798802081,,-4.947247096373779,-1.7683708997617624,-0.0726,,31.24479319924542,,,10.218978102189757,7.0139065055270295,9.801633605600903,,,
03/24/2020,1.0787,1.0726,1.0889,1.0722,0.62%,1.09537,1.097958064516129,0.0,1.0897969111390284,1.0981814247887376,,-4.260228987308071,-0.7726980038634866,-0.04919999999999991,-0.012699999999999934,37.07882701551578,46.67365112624413,,20.519835841313153,12.463307487196351,17.502917152858718,,,
03/25/2020,1.088,1.0789,1.0894,1.0761,0.86%,1.0915000000000001,1.097646875,0.0,1.0894696678347575,1.0974363844788981,,-2.7094697308414553,0.36900369003690064,-0.03869999999999996,0.0009000000000001229,44.457605185913195,49.23217141579684,,34.8637015781923,21.867505173898405,28.354725787631295,18.55309218203031,,
