Date,Price,Open,High,Low,Change %,short_mavg,long_mavg,signal,EMA10,EMA30,EMA200,ROC10,ROC30,MOM10,MOM30,RSI10,RSI30,RSI200,%K10,%D10,%K30,%D30,%K200,%D200
01/20/2026,1.1725,1.1644,1.1769,1.1632,0.68%,1.1848,1.184488888888889,1.0,1.180984163938413,,,-0.5597489610719989,,-0.009399999999999853,,38.21287498833616,,,20.805369127516986,15.003582700207403,,,,
01/19/2026,1.1646,1.1584,1.1649,1.1572,0.41%,1.1833500000000001,1.183442105263158,0.0,1.177937941589068,,,-1.7215189873417698,,-0.014499999999999957,,33.149503739408786,,,14.595660749507058,12.94133758736993,,,,
01/16/2026,1.1599,1.1608,1.1628,1.1584,-0.08%,1.1808400000000001,1.182265,0.0,1.1745979569966696,,,-3.1075098153871954,,-0.025100000000000122,,30.47975841083354,,,5.325443786982103,13.575491221335383,,,,
01/15/2026,1.1608,1.1642,1.1648,1.1593,-0.31%,1.17721,1.1812428571428573,0.0,1.1720515873011654,,,-2.894428643132003,,-0.0363,,31.650948631410245,,,7.10059171597643,9.007232084155197,,,,
01/14/2026,1.1644,1.1646,1.1662,1.1635,0.01%,1.1741100000000002,1.1804772727272728,0.0,1.1706433534816658,,,-3.2970683498048206,,-0.030999999999999917,,36.41206063311512,,,14.20118343195286,8.875739644970464,,,,
01/13/2026,1.1643,1.1669,1.1678,1.1634,-0.21%,1.17013,1.1797739130434783,0.0,1.1694784866729102,,,-2.0031983839744165,,-0.03980000000000006,,36.33394401391656,,,21.194029850745867,14.165268332891719,,,,
01/12/2026,1.1668,1.1635,1.1698,1.1621,0.26%,1.168,1.1792333333333334,0.0,1.168987513026544,,,-1.3527223537368966,,-0.021299999999999875,,39.91461587371243,,,36.641221374046005,24.01214488558158,,,,
01/09/2026,1.1638,1.166,1.1663,1.1618,-0.19%,1.1661,1.1786159999999999,0.0,1.1680380377007649,,,-0.9953211399404546,,-0.019000000000000128,,37.13026858318685,,,33.502538071065594,30.445929765285825,,,,
01/08/2026,1.166,1.1674,1.1684,1.1643,-0.12%,1.1651500000000001,1.1781307692307692,0.0,1.1676654656036745,,,-0.20540910647040223,,-0.009500000000000064,,40.511562537860655,,,44.6700507614208,38.27127006884413,,,,
01/07/2026,1.1674,1.1688,1.1703,1.1673,-0.13%,1.16505,1.1777333333333333,0.0,1.1676169840891986,,,-0.43496801705757815,,-0.001000000000000112,,42.69091581945317,,,51.776649746192696,43.3164128595597,,,,
01/06/2026,1.1689,1.1722,1.1744,1.1684,-0.27%,1.16469,1.177417857142857,0.0,1.1678511093658428,,,0.36922548514511166,,-0.0036000000000000476,,45.08588420040868,,,68.02325581395333,54.82331877385561,,,,
01/05/2026,1.1721,1.1724,1.1729,1.1659,0.01%,1.16544,1.1772344827586207,0.0,1.168625935578563,,,1.0518148116216905,,0.00749999999999984,,50.035319384364804,,,85.62499999999882,68.47496852004828,,,,
01/02/2026,1.172,1.1749,1.1765,1.1713,-0.22%,1.16665,1.17706,0.0,1.1692408958065965,1.1728072518382933,,0.9648518263266607,-1.2720074130233436,0.0121,,49.879220852239975,,,73.83720930232475,75.8284883720923,29.19132149901368,,,
01/01/2026,1.1746,1.1741,1.1747,1.174,0.00%,1.16803,1.1769806451612905,0.0,1.1702172189967361,1.1729396645662231,,0.8759876331157666,-1.252627154266491,0.013800000000000034,-0.012499999999999956,54.02297383791929,45.082612116443784,,87.07482993197284,82.1790130780988,34.31952662721912,,,
12/31/2025,1.1746,1.1746,1.176,1.172,-0.02%,1.16905,1.17690625,0.0,1.1710153863107746,1.173061161984481,,0.884651722064777,-1.4183801930339837,0.010199999999999987,-0.014899999999999913,54.02297383791929,45.08261211644379,,87.07482993197284,82.66228972209014,34.31952662721912,32.61012491781731,,
12/30/2025,1.1748,1.1768,1.178,1.1743,-0.20%,1.1701000000000001,1.1768424242424242,0.0,1.1717044147048108,1.1731873114491258,,0.6856359273225923,-0.6679631351991221,0.010500000000000176,-0.016699999999999937,54.3811461770756,45.174935159907804,,80.2469135802477,84.79885781473114,34.71400394477332,34.45101906640385,,
12/29/2025,1.1772,1.1771,1.1789,1.1749,0.00%,1.1711399999999998,1.1768529411764705,0.0,1.1727047010073064,1.1734761049491678,,1.1514005842928408,-0.38080731150037644,0.010399999999999965,-0.00550000000000006,58.67370606425309,46.295698244772126,,90.0584795321636,85.79340768146137,39.44773175542412,36.16042077580552,,
12/26/2025,1.1772,1.1781,1.1797,1.1761,-0.05%,1.17248,1.176862857142857,0.0,1.1735227567599464,1.1737421310148677,,0.9605488850771955,-0.042455633862608894,0.013400000000000079,-0.0044999999999999485,58.67370606425309,46.29569824477212,,83.7662337662342,84.69054229288184,39.44773175542412,37.86982248520719,,
12/25/2025,1.1778,1.1783,1.1788,1.1771,0.00%,1.17366,1.1768888888888889,0.0,1.1743010045168278,1.1740300227419311,,0.890868596881957,-0.24561700686034763,0.011800000000000033,9.999999999998899e-05,59.84003306523338,46.58781838692126,,86.23188405797096,86.68553245212291,40.63116370808672,39.84220907297833,,
12/24/2025,1.1778,1.1793,1.1809,1.1772,-0.14%,1.1747,1.1769135135135136,0.0,1.1749375650762042,1.1742957806197685,,0.7613996064676112,-0.3468990608342493,0.010399999999999965,-0.0029000000000001247,59.84003306523338,46.58781838692126,,79.33333333333282,83.11048371917933,40.63116370808672,40.23668639053252,,
12/23/2025,1.1795,1.1756,1.1802,1.1755,0.29%,1.17576,1.1769815789473683,0.0,1.1757675035907553,1.1746604631144109,,0.6313454483405916,0.0339241794589056,0.010599999999999943,-0.0023999999999999577,63.448416784279026,47.454446129739594,,90.6666666666663,85.41062801932337,43.98422090729783,41.74884944115709,,
12/22/2025,1.1761,1.1713,1.177,1.1705,0.44%,1.1761599999999999,1.1769589743589743,0.0,1.175827981623542,1.1747607801940512,,0.34982935153583555,-0.751054852320686,0.0040000000000000036,-0.0030000000000001137,52.88834579026168,45.91316193179832,,53.84615384615237,74.61538461538383,37.278106508875595,40.63116370808672,,
12/19/2025,1.171,1.1721,1.1738,1.1702,-0.10%,1.17606,1.1768100000000001,0.0,1.174949880010237,1.1745000507263563,,-0.30648731483058467,-2.1802689833764943,-0.0009999999999998899,-0.014000000000000012,41.40336160641167,43.710218668868514,,7.476635514019836,50.66315200894618,27.218934911242687,36.16042077580537,,
